host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_has_profile_pic,host_identity_verified
27100767,Ally,02-02-2015,"Coppell, Texas, United States",within a few hours,100,81,TRUE,Old Lake Highlands,1,TRUE,FALSE
13030399,Katrina,11-03-2014,"Dallas, Texas, United States",within an hour,100,99,TRUE,Oak Cliff,4,TRUE,FALSE
38961725,Theresa,19-07-2015,"Dallas, Texas, United States",a few days or more,43,79,FALSE,Lower Greenville,0,TRUE,TRUE
45385076,Alan,29-09-2015,"Dallas, Texas, United States",within a day,100,0,FALSE,,1,TRUE,TRUE
9858809,Max,06-11-2013,"San Francisco, California, United States",,,,FALSE,,1,TRUE,TRUE
27296534,Katie,06-02-2015,"Austin, Texas, United States",a few days or more,0,0,FALSE,,1,TRUE,TRUE
45814261,Brian,05-10-2015,"Dallas, Texas, United States",within a few hours,100,67,FALSE,Oak Lawn,1,TRUE,TRUE
45865766,Margaret,05-10-2015,"Dallas, Texas, United States",within a few hours,100,89,TRUE,Bent Tree,1,TRUE,TRUE
40907479,Lisa,08-08-2015,"Dallas, Texas, United States",within a few hours,100,81,TRUE,Northwest Dallas,9,TRUE,TRUE
47350784,Michael,24-10-2015,"Flower Mound, Texas, United States",,,,TRUE,Old East Dallas,4,TRUE,TRUE
2017907,Peter,27-03-2012,"Dallas, Texas, United States",within an hour,100,100,TRUE,Glencoe Park,1,TRUE,TRUE
48353455,Jamie,06-11-2015,"Dallas, Texas, United States",within an hour,100,97,TRUE,Oak Lawn,1,TRUE,TRUE
25090597,David,22-12-2014,"Dallas, Texas, United States",within an hour,100,100,FALSE,Lake Highlands,1,TRUE,FALSE
48821106,Dia,12-11-2015,"Dallas, Texas, United States",within an hour,100,90,FALSE,Belmont,1,TRUE,TRUE
47783364,Adam,30-10-2015,"Dallas, Texas, United States",within an hour,100,94,TRUE,Northeast Dallas,3,TRUE,TRUE
49028930,Brett,14-11-2015,"Saginaw, Texas, United States",within a few hours,100,97,TRUE,Oak Lawn,14,TRUE,TRUE
47792621,Jay,30-10-2015,"Dallas, Texas, United States",,,100,FALSE,Oak Cliff,1,TRUE,TRUE
23454864,Kim,07-11-2014,"Dallas, Texas, United States",,,90,TRUE,,1,TRUE,TRUE
20205060,Stan,18-08-2014,"Texas, United States",within an hour,100,100,TRUE,Oak Lawn,3,TRUE,TRUE
28008128,Jonathan,19-02-2015,"Dallas, Texas, United States",,,,FALSE,Oak Lawn,0,TRUE,TRUE
51244938,Taylor,13-12-2015,"Dallas, Texas, United States",within an hour,100,82,TRUE,Lower Greenville,2,TRUE,FALSE
53066413,Jennifer,02-01-2016,"Dallas, Texas, United States",within a few hours,100,100,FALSE,Hillside/University Meadows/Ridge Wood Park/North Stonewall Terrace,1,TRUE,FALSE
27836510,Judy,16-02-2015,"Dallas, Texas, United States",within an hour,100,90,TRUE,Central Dallas,1,TRUE,TRUE
37054522,Mark,29-06-2015,"Dallas, Texas, United States",within an hour,100,91,TRUE,Oak Lawn,1,TRUE,TRUE
6211771,Frances,03-05-2013,"Dallas, Texas, United States",within a few hours,100,100,TRUE,White Rock East,1,TRUE,TRUE
213421586,James,03-09-2018,"Dallas, Texas, United States",,,,FALSE,,1,TRUE,TRUE
2418969,Annie,20-05-2012,"Dallas, Texas, United States",within an hour,100,100,TRUE,,1,TRUE,TRUE
22466034,Carlos,13-10-2014,"Dallas, Texas, United States",within a day,50,4,FALSE,,2,TRUE,TRUE
1237905,Manuel,02-10-2011,"Dallas, Texas, United States",within an hour,100,81,TRUE,Lake Highlands,3,TRUE,TRUE
21699077,Elizabeth,23-09-2014,"Dallas, Texas, United States",within an hour,100,99,FALSE,Old East Dallas,3,TRUE,TRUE
43889052,Israel,10-09-2015,"Dallas, Texas, United States",within an hour,100,100,TRUE,Oak Lawn,4,TRUE,FALSE
47650530,Ray,28-10-2015,United States,within an hour,80,100,FALSE,Oak Lawn,1,TRUE,TRUE
16783105,Mike,14-06-2014,"Dallas, Texas, United States",within an hour,100,89,TRUE,North Central Dallas,4,TRUE,TRUE
37273366,City,01-07-2015,"Dallas, Texas, United States",within an hour,100,94,TRUE,Oak Lawn,7,TRUE,TRUE
60978791,Charles,29-02-2016,"Dallas, Texas, United States",within an hour,100,100,TRUE,North Dallas,0,TRUE,TRUE
61431187,John,03-03-2016,"Dallas, Texas, United States",within a day,100,50,TRUE,,1,TRUE,FALSE
249111,Carolyn,29-09-2010,"Dallas, Texas, United States",within an hour,100,100,TRUE,Lower Greenville,0,TRUE,TRUE
31101090,Lupe,12-04-2015,"Dallas, Texas, United States",within an hour,100,99,FALSE,Oak Cliff,2,TRUE,TRUE
62676658,Nadia,12-03-2016,"Dallas, Texas, United States",within a day,50,20,FALSE,,1,TRUE,FALSE
7892649,Lauryn,02-08-2013,"Dallas, Texas, United States",within a few hours,100,75,FALSE,,0,TRUE,TRUE
64526429,Asher,26-03-2016,"Dallas, Texas, United States",within an hour,100,97,FALSE,Bent Tree,17,TRUE,TRUE
53047362,Elly,02-01-2016,"Dallas, Texas, United States",within a few hours,100,96,FALSE,Knox / Henderson,1,TRUE,TRUE
24649217,Van And Lynn,09-12-2014,"Dallas, Texas, United States",,,100,FALSE,Oak Lawn,2,TRUE,TRUE
75347198,Nic,02-06-2016,"Dallas, Texas, United States",,,,FALSE,,1,TRUE,TRUE
69410401,Jim,28-04-2016,"Dallas, Texas, United States",within an hour,100,99,TRUE,Oak Cliff,1,TRUE,TRUE
70820214,Edina And Joe,07-05-2016,"Dallas, Texas, United States",within a few hours,100,97,TRUE,North Central Dallas,1,TRUE,TRUE
43042344,Heath,31-08-2015,"Dallas, Texas, United States",within an hour,99,100,FALSE,Old East Dallas,226,TRUE,TRUE
59509385,Jeremy,19-02-2016,"Dallas, Texas, United States",within an hour,98,100,FALSE,Oak Cliff,10,TRUE,TRUE
54424591,Bruce,12-01-2016,"Round Rock, Texas, United States",within an hour,100,100,FALSE,Lower Greenville,1,TRUE,TRUE
73227695,Aj,21-05-2016,"Rowlett, Texas, United States",within an hour,100,99,FALSE,South Dallas,2,TRUE,TRUE
72094342,Ashley,15-05-2016,"Grand Prairie, Texas, United States",within an hour,100,100,TRUE,,0,TRUE,TRUE
74141217,Fiona,26-05-2016,"Dallas, Texas, United States",within a day,100,88,TRUE,,1,TRUE,TRUE
61276660,M,02-03-2016,"Dallas, Texas, United States",within a few hours,90,97,TRUE,,1,TRUE,FALSE
71839752,Jonathan,13-05-2016,"Grand Prairie, Texas, United States",within an hour,100,100,TRUE,,2,TRUE,TRUE
76039395,Rob,05-06-2016,"Dallas, Texas, United States",within an hour,100,95,TRUE,Belmont,2,TRUE,TRUE
23916014,Braden,18-11-2014,"Dallas, Texas, United States",within an hour,99,94,TRUE,Old East Dallas,66,TRUE,TRUE
10901678,Vera,30-12-2013,"Dallas, Texas, United States",within an hour,100,100,FALSE,North Dallas,49,TRUE,TRUE
84990738,Teresa,20-07-2016,"Dallas, Texas, United States",within an hour,100,100,TRUE,Oak Lawn,1,TRUE,TRUE
85293121,Lan,22-07-2016,"Dallas, Texas, United States",within an hour,100,100,TRUE,Northeast Dallas,0,TRUE,TRUE
82337322,Donna,07-07-2016,"Dallas, Texas, United States",within an hour,100,74,TRUE,Oak Lawn,2,TRUE,FALSE
88358457,Jim,06-08-2016,"Dallas, Texas, United States",within an hour,100,100,TRUE,Oak Lawn,1,TRUE,TRUE
42797060,Cindy,28-08-2015,"Dallas, Texas, United States",,,,FALSE,Northeast Dallas,2,TRUE,FALSE
15751176,Avi,20-05-2014,"Dallas, Texas, United States",within a few hours,86,97,FALSE,Northeast Dallas,9,TRUE,TRUE
90964420,Rabecca,20-08-2016,"Dallas, Texas, United States",,,40,TRUE,Oak Lawn,1,TRUE,FALSE
11668120,Marci,26-01-2014,"Dallas, Texas, United States",,,50,FALSE,Forest Hills/Casa Linda,2,TRUE,TRUE
46546689,Melanie,14-10-2015,"Austin, Texas, United States",within a day,100,100,FALSE,Far North Dallas,0,TRUE,TRUE
41923076,Anj,19-08-2015,"Dallas, Texas, United States",within an hour,100,100,TRUE,Oak Lawn,10,TRUE,TRUE
47111572,Cynthia,21-10-2015,"IND HBR BCH, Florida, United States",within a day,100,100,FALSE,Oak Lawn,1,TRUE,TRUE
93232901,Ej,03-09-2016,"Dallas, Texas, United States",within an hour,100,98,FALSE,Oak Cliff,23,TRUE,TRUE
35342054,Deborah,08-06-2015,"Dallas, Texas, United States",within a few hours,100,92,FALSE,Lakewood,4,TRUE,TRUE
36558634,Matt,23-06-2015,"Austin, Texas, United States",within an hour,100,83,TRUE,Lakewood,3,TRUE,TRUE
1287648,Cindy | Becca,13-10-2011,"Buffalo, New York, United States",within an hour,100,91,FALSE,Oak Lawn,3,TRUE,TRUE
16354066,Daniel,03-06-2014,"Grand Prairie, Texas, United States",within an hour,100,99,TRUE,,11,TRUE,TRUE
39191637,Lee,21-07-2015,"Austin, Texas, United States",within an hour,100,100,FALSE,Central Dallas,43,TRUE,TRUE
68322746,Elias,22-04-2016,"Dallas, Texas, United States",within an hour,100,100,FALSE,,1,TRUE,TRUE
95719694,Linda,18-09-2016,"I live in the heart of Dallas, close to lots of shopping, restaurants, museums, and businesses.",within a few hours,100,85,TRUE,M Streets,1,TRUE,TRUE
58642120,Rj,13-02-2016,"Dallas, Texas, United States",within an hour,100,99,TRUE,Oak Lawn,3,TRUE,TRUE
58996139,Jennifer,16-02-2016,"Dallas, Texas, United States",within a few hours,100,85,TRUE,Oak Cliff,1,TRUE,FALSE
95945165,Mary Jo,19-09-2016,"Dallas, Texas, United States",within an hour,100,96,TRUE,Peninsula,1,TRUE,TRUE
95030182,Lauri,13-09-2016,US,within an hour,100,100,TRUE,Glencoe Park,1,TRUE,FALSE
10487666,Grady,07-12-2013,"Dallas, Texas, United States",within an hour,100,100,TRUE,Southeast Dallas,4,TRUE,TRUE
9791021,Scott,03-11-2013,"Dallas, Texas, United States",,,50,FALSE,Oak Lawn,1,TRUE,TRUE
69524865,Veronica,29-04-2016,"Dallas, Texas, United States",within a few hours,100,68,FALSE,Oak Cliff,1,TRUE,FALSE
72184929,Gp,15-05-2016,"Dallas, Texas, United States",within an hour,100,96,FALSE,Lakewood,1,TRUE,TRUE
25150071,Hayden,23-12-2014,"Dallas, Texas, United States",within a few hours,90,65,TRUE,Oak Cliff,3,TRUE,TRUE
96993967,Lashonda,27-09-2016,"Dallas, Texas, United States",within a day,50,80,FALSE,South Central Dallas,2,TRUE,TRUE
2770842,Ericka,28-06-2012,"Dallas, Texas, United States",within an hour,100,96,TRUE,White Rock Hills,1,TRUE,TRUE
10696583,Tom & Cyndi,18-12-2013,"Dallas, Texas, United States",within a few hours,100,100,TRUE,Northwest Dallas,1,TRUE,TRUE
201570,Evie,14-08-2010,"Austin, Texas, United States",within an hour,100,99,FALSE,Central Dallas,1,TRUE,TRUE
971049,C,14-08-2011,"Dallas, Texas, United States",within an hour,100,60,FALSE,,1,TRUE,TRUE
60226438,Jesse,24-02-2016,"Dallas, Texas, United States",within an hour,100,93,TRUE,Central Dallas,3,TRUE,TRUE
102864844,Christina,07-11-2016,"Dallas, Texas, United States",within an hour,100,100,TRUE,Northeast Dallas,2,TRUE,TRUE
25173150,Hayden,24-12-2014,"Dallas, Texas, United States",a few days or more,0,,FALSE,Greenway Parks,1,FALSE,FALSE
181074,Jonathan,26-07-2010,"Miami, Florida, United States",within a few hours,100,70,TRUE,Belmont,2,TRUE,TRUE
463744,Oren,26-03-2011,"Dallas, Texas, United States",within an hour,100,100,FALSE,Central Dallas,1,TRUE,TRUE
101555838,Shelley,27-10-2016,"Dallas, Texas, United States",,,,FALSE,,1,TRUE,FALSE
104509952,Anthony,20-11-2016,"Dallas, Texas, United States",within a few hours,100,79,FALSE,Oak Lawn,3,TRUE,TRUE
37343849,D,02-07-2015,"Dallas, Texas, United States",within a day,71,100,TRUE,Cedars,1,TRUE,TRUE
5742868,Tom And Diane,02-04-2013,"Dallas, Texas, United States",within an hour,100,55,FALSE,North Central Dallas,1,TRUE,TRUE
605717,Leonard,19-05-2011,Germany,within an hour,100,100,FALSE,Central Dallas,2,TRUE,TRUE
78199259,Benjamin,17-06-2016,"Dallas, Texas, United States",within an hour,100,88,TRUE,Oak Lawn,1,TRUE,TRUE
105820908,Rachel,01-12-2016,"Dallas, Texas, United States",within an hour,94,90,FALSE,North Central Dallas,6,TRUE,TRUE
103496422,Wynn,13-11-2016,"Dallas, Texas, United States",within an hour,100,100,FALSE,,3,TRUE,TRUE
56288960,Billy,27-01-2016,"Terrell, Texas, United States",within a few hours,83,73,FALSE,Oak Lawn,0,TRUE,TRUE
57773483,Denise,07-02-2016,"Dallas, Texas, United States",within an hour,100,100,TRUE,Hillside/University Meadows/Ridge Wood Park/North Stonewall Terrace,1,TRUE,TRUE
57374514,Victor,04-02-2016,US,within a day,100,0,FALSE,,1,FALSE,FALSE
479728,Margaret,02-04-2011,"Dallas, Texas, United States",within an hour,100,97,TRUE,M Streets,6,TRUE,TRUE
102678713,William,06-11-2016,"Dallas, Texas, United States",within an hour,100,100,TRUE,,2,TRUE,TRUE
64921836,Jerri,29-03-2016,"Dallas, Texas, United States",within an hour,100,100,TRUE,Oak Cliff,1,TRUE,FALSE
112709024,Anu,22-01-2017,"Dallas, Texas, United States",within a day,100,87,TRUE,Belmont,2,TRUE,TRUE
59908862,JoAnne,22-02-2016,"Dallas, Texas, United States",within a few hours,100,100,TRUE,Bent Tree,2,TRUE,TRUE
113547397,Rusty,27-01-2017,"Dallas, Texas, United States",within an hour,100,100,TRUE,Central Dallas,4,TRUE,TRUE
684684,Bee,09-06-2011,"Dallas, Texas, United States",within a few hours,100,85,TRUE,Glen Meadow/Westhollow/Northhaven Park,4,TRUE,TRUE
77565485,Noelle,13-06-2016,"Dallas, Texas, United States",within an hour,100,98,TRUE,Oak Cliff,3,TRUE,TRUE
1373416,Rony,05-11-2011,"Lewisville, Texas, United States",within an hour,100,100,TRUE,Glencoe Park,1,TRUE,TRUE
57933646,Nicole And Brad,08-02-2016,"Dallas, Texas, United States",within an hour,100,100,FALSE,North Central Dallas,49,TRUE,TRUE
116304008,Kerri,13-02-2017,"Dallas, Texas, United States",within an hour,100,95,TRUE,Oak Cliff,3,TRUE,TRUE
443730443,Dave,05-02-2022,CA,,,,FALSE,,4,FALSE,FALSE
38689899,James,16-07-2015,"Dallas, Texas, United States",within an hour,100,91,FALSE,Oak Lawn,1,TRUE,TRUE
118006823,Rashaad,25-02-2017,"Dallas, Texas, United States",,,0,FALSE,North Central Dallas,1,TRUE,FALSE
15693949,Arturo,18-05-2014,"Dallas, Texas, United States",within an hour,100,100,FALSE,Bertrand,5,TRUE,TRUE
107583316,Anthony,17-12-2016,US,within an hour,100,93,FALSE,North Central Dallas,3,TRUE,FALSE
20414248,Saadia,22-08-2014,"Dallas, Texas, United States",,,100,FALSE,Oak Lawn,1,TRUE,TRUE
57133221,Fang,02-02-2016,"Rockwall, Texas, United States",within an hour,100,100,TRUE,,1,TRUE,TRUE
62476323,Jennifer,10-03-2016,"Garland, Texas, United States",within an hour,100,100,TRUE,Northeast Dallas,2,TRUE,TRUE
117540337,Veronica,21-02-2017,"Dallas, Texas, United States",within a few hours,100,82,TRUE,South Central Dallas,2,TRUE,TRUE
120726900,Suzanne,14-03-2017,"Dallas, Texas, United States",within an hour,100,92,TRUE,North Central Dallas,1,TRUE,TRUE
49218487,Donna,16-11-2015,"Dallas, Texas, United States",within an hour,100,67,TRUE,North Central Dallas,2,TRUE,TRUE
28836312,Roy,05-03-2015,"Dallas, Texas, United States",within an hour,100,100,FALSE,Dallas Downtown Historic District,11,TRUE,TRUE
121566634,Troy,19-03-2017,US,within an hour,100,96,TRUE,Oak Cliff,2,TRUE,TRUE
26913292,Samantha,29-01-2015,"Dallas, Texas, United States",within an hour,100,99,TRUE,Oak Cliff,4,TRUE,FALSE
2428081,Robyn,21-05-2012,"Dallas, Texas, United States",within an hour,100,98,TRUE,Junius Heights,0,TRUE,TRUE
5599749,Louwane,24-03-2013,"Dallas, Texas, United States",within an hour,100,99,TRUE,M Streets,2,TRUE,TRUE
35406521,Tony,09-06-2015,"Dallas, Texas, United States",within a few hours,100,100,TRUE,Bryan Square,2,TRUE,TRUE
1822959,William,28-02-2012,"Dallas, Texas, United States",,,,FALSE,Lakewood Heights,1,TRUE,FALSE
51601496,Rich,17-12-2015,"Dallas, Texas, United States",,,,FALSE,Oak Lawn,1,TRUE,TRUE
121857721,Art,21-03-2017,"Dallas, Texas, United States",within an hour,100,96,TRUE,Central Dallas,1,TRUE,TRUE
126832872,Cota,20-04-2017,US,within an hour,100,97,FALSE,North Central Dallas,1,TRUE,TRUE
2455266,Karen,24-05-2012,"Dallas, Texas, United States",within an hour,100,98,TRUE,Hollywood/Santa Monica,0,TRUE,FALSE
1509921,Robert,16-12-2011,"Dallas, Texas, United States",within an hour,100,100,TRUE,Oak Lawn,7,TRUE,TRUE
55310291,Meagan,19-01-2016,"Dallas, Texas, United States",within a few hours,100,100,FALSE,Victory Park,1,TRUE,TRUE
128942364,Joseph,05-05-2017,"Dallas, Texas, United States",within an hour,100,100,TRUE,Bent Tree,5,TRUE,TRUE
85654341,Justin,24-07-2016,"Dallas, Texas, United States",within an hour,100,97,TRUE,Oak Lawn,2,TRUE,TRUE
129748591,Emma,10-05-2017,"Dallas, Texas, United States",within an hour,100,99,TRUE,Central Dallas,1,TRUE,TRUE
129985668,Peter,12-05-2017,"Dallas, Texas, United States",within an hour,86,100,TRUE,Northwest Dallas,1,TRUE,TRUE
78592523,Virginia,19-06-2016,"Dallas, Texas, United States",within an hour,100,98,TRUE,Lakewood,1,TRUE,TRUE
13543122,Laura,25-03-2014,"Dallas, Texas, United States",within a day,100,92,TRUE,Swiss Avenue,1,TRUE,TRUE
46111610,Kathi,08-10-2015,"Dallas, Texas, United States",within an hour,100,99,TRUE,Oak Cliff,2,TRUE,FALSE
129903525,Josey,11-05-2017,"Dallas, Texas, United States",within an hour,100,95,TRUE,Oak Lawn,1,TRUE,FALSE
131092326,Bren,19-05-2017,"Heath, Texas, United States",within an hour,100,40,FALSE,,1,TRUE,TRUE
